C98_USDT||3.67900000||5||3.64||5||-0.19500000000000028
ALPHA_USDT||1.02870000||18||1.0225||18||-0.11159999999999926
CKB_USDT||0.02008000||944||0.01968||943||-0.3972800000000021
ALPHA_USDT||1.00000000||18||0.9918||18||-0.14760000000000062
IOST_USDT||0.04782000||382||0.04847||381||0.19982999999999862
VET_USDT||0.13031000||137||0.12992||137||-0.053429999999998756
HBAR_USDT||0.40190000||43||0.3996||43||-0.09890000000000043
HBAR_USDT||0.40010000||42||0.4026||42||0.10500000000000043
MBL_USDT||0.01027000||1604||0.010227||1602||-0.08942599999999956
OXT_USDT||0.42980000||38||0.4335||38||0.14059999999999917
FLM_USDT||0.52360000||31||0.5211||31||-0.07750000000000057
