HBAR_USDT||0.39320000||41||0.3957||41||0.1025000000000027
ONE_USDT||0.28817000||56||0.28866||55||-0.26121999999999623
ADA_USDT||1.94000000||8||1.945||8||0.040000000000000924
ATA_USDT||1.11800000||14||1.1216||14||0.050399999999998
MDX_USDT||1.03100000||15||1.029||15||-0.02999999999999936
CTSI_USDT||0.76160000||21||0.7655||21||0.08189999999999742
ALPHA_USDT||1.05910000||15||1.0562||15||-0.043499999999998096
ALPHA_USDT||1.05800000||15||1.0542||15||-0.057000000000000384
REEF_USDT||0.03401000||472||0.03403||471||-0.024590000000003442
SLP_USDT||0.06790000||236||0.0677||235||-0.11490000000000045
POLY_USDT||0.68840000||23||0.6962||22||-0.5167999999999981
