ALPHA_USDT||0.99830000||17||0.9925||17||-0.09859999999999758
C98_USDT||3.62500000||4||3.665||4||0.16000000000000014
FLM_USDT||0.50310000||34||0.5079||34||0.1631999999999998
KEEP_USDT||0.65250000||26||0.657||26||0.11700000000000088
KEY_USDT||0.01059600||1649||0.010548||1647||-0.10024800000000056
ALPHA_USDT||0.99430000||17||1.0019||17||0.12920000000000087
C98_USDT||3.67200000||4||3.638||4||-0.136000000000001
OCEAN_USDT||0.87130000||19||0.878||18||-0.7507000000000001
C98_USDT||3.63900000||4||3.604||4||-0.1399999999999988
C98_USDT||3.60400000||4||3.643||4||0.1559999999999988
OXT_USDT||0.42450000||39||0.4195||38||-0.6144999999999996
OCEAN_USDT||0.85290000||22||0.8443||22||-0.1891999999999996
OCEAN_USDT||0.84850000||22||0.8622||22||0.30139999999999745
