SC_USDT||0.02057000||654||0.02078||653||0.11655999999999977
C98_USDT||4.00800000||3||3.985||3||-0.06900000000000084
MBL_USDT||0.01065800||1317||0.010601||1316||-0.08567000000000213
MBL_USDT||0.01061400||1314||0.010556||1313||-0.08676800000000107
MBL_USDT||0.01058200||1309||0.010517||1307||-0.10611899999999785
DOGE_USDT||0.26340000||52||0.2635||52||0.005199999999998539
DODO_USDT||1.76700000||7||1.788||6||-1.641
ONE_USDT||0.29166000||40||0.29211||40||0.018000000000000682
ONE_USDT||0.29324000||156||0.29416||156||0.1435199999999952
REN_USDT||0.99590000||46||0.9916||46||-0.19779999999999376
REN_USDT||0.99210000||46||0.9873||46||-0.2208000000000041
REN_USDT||0.98830000||46||0.9844||46||-0.179399999999994
REN_USDT||0.98530000||45||0.982||45||-0.14849999999999852
